,uncertainty_noise,trial,whether,how,sufficient,moving
316,1.5,16,1.0,1.0,0.0,1.0
317,1.5,17,0.43,1.0,0.094,0.0
318,1.5,18,1.0,0.0,1.0,1.0
319,1.5,19,0.847,1.0,0.118,1.0
320,1.5,20,0.482,1.0,0.491,1.0
321,1.5,21,1.0,1.0,1.0,0.0
322,1.5,22,0.0,0.0,0.0,1.0
323,1.5,23,0.0,0.0,0.0,1.0
324,1.5,24,1.0,1.0,0.435,1.0
325,1.5,25,1.0,0.0,0.0,1.0
326,1.5,26,0.857,1.0,0.115,1.0
327,1.5,27,0.673,1.0,0.682,0.0
328,1.5,28,0.283,1.0,0.28,1.0
329,1.5,29,0.0,0.0,0.0,1.0
330,1.6,0,0.0,0.0,0.0,1.0
331,1.6,1,0.389,0.0,1.0,1.0
332,1.6,2,0.0,1.0,0.0,1.0
333,1.6,3,0.569,1.0,0.0,1.0
334,1.6,4,0.263,1.0,0.256,1.0
335,1.6,5,0.0,1.0,1.0,1.0
336,1.6,6,0.008,1.0,0.976,1.0
337,1.6,7,0.227,0.0,1.0,1.0
338,1.6,8,0.56,1.0,0.0,1.0
339,1.6,9,0.688,1.0,0.683,1.0
340,1.6,10,0.848,1.0,0.079,1.0
341,1.6,11,0.971,1.0,0.027,1.0
342,1.6,12,1.0,1.0,1.0,1.0
343,1.6,13,1.0,1.0,1.0,1.0
344,1.6,14,0.982,1.0,0.967,0.0
345,1.6,15,0.96,1.0,0.965,1.0
346,1.6,16,1.0,1.0,0.0,1.0
347,1.6,17,0.435,1.0,0.113,0.0
348,1.6,18,1.0,0.0,1.0,1.0
349,1.6,19,0.818,1.0,0.135,1.0
350,1.6,20,0.506,1.0,0.518,1.0
351,1.6,21,1.0,1.0,1.0,0.0
352,1.6,22,0.0,0.0,0.0,1.0
353,1.6,23,0.0,0.0,0.0,1.0
354,1.6,24,1.0,1.0,0.445,1.0
355,1.6,25,1.0,0.0,0.0,1.0
356,1.6,26,0.838,1.0,0.142,1.0
357,1.6,27,0.713,1.0,0.676,0.0
358,1.6,28,0.323,1.0,0.323,1.0
359,1.6,29,0.0,0.0,0.0,1.0
